;  Created 01-Feb-2016 ECMD Adapted from stx_cfl_skyvec_table.txt 20-Jun-2013 - Shaun Bloomfield (TCD)
;
;  CFL sky X sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL sky Y sampling (in arcminutes) from STIX optical axis, nominally 67 samples spaced 2 arcminutes apart
;
-66. -64. -62. -60. -58. -56. -54. -52. -50. -48. -46. -44. -42. -40. -38. -36. -34. -32. -30. -28. -26. -24. -22. -20. -18. -16. -14. -12. -10.  -8.  -6.  -4.  -2.   0.   2.   4.   6.   8.  10.  12.  14.  16.  18.  20.  22.  24.  26.  28.  30.  32.  34.  36.  38.  40.  42.  44.  46.  48.  50.  52.  54.  56.  58.  60.  62.  64.  66.
;
;  CFL [npixels, nvectors] sky vector array, nominally has [12, 4489] entries where nvectors is nsky_x*nsky_y (67x67)
;
0.0500838 0.0594743 0.0594743 0.0594743 0.0000000 0.0000000 0.0000000 0.0000000 0.2341509 0.2341509 0.0000000 0.0000000 
0.0407107 0.0594997 0.0594997 0.0594997 0.0000000 0.0000000 0.0000000 0.0000000 0.2342508 0.2342508 0.0000000 0.0000000 
0.0313266 0.0595198 0.0595198 0.0595198 0.0000000 0.0000000 0.0000000 0.0000000 0.2343301 0.2343301 0.0000000 0.0000000 
0.0219345 0.0595348 0.0595348 0.0595348 0.0000000 0.0000000 0.0000000 0.0000000 0.2343888 0.2343888 0.0000000 0.0000000 
0.0125363 0.0595444 0.0595444 0.0595444 0.0000000 0.0000000 0.0000000 0.0000000 0.2344268 0.2344268 0.0000000 0.0000000 
0.0031348 0.0595488 0.0595488 0.0595488 0.0000000 0.0000000 0.0000000 0.0000000 0.2344440 0.2344440 0.0000000 0.0000000 
0.0000000 0.0533003 0.0595701 0.0595701 0.0000000 0.0000000 0.0000000 0.0000000 0.2345281 0.2345281 0.0000000 0.0000000 
0.0000000 0.0439144 0.0595974 0.0595974 0.0000000 0.0000000 0.0000000 0.0000000 0.2346354 0.2346354 0.0000000 0.0000000 
0.0000000 0.0345170 0.0596194 0.0596194 0.0000000 0.0000000 0.0000000 0.0000000 0.2347220 0.2347220 0.0000000 0.0000000 
0.0000000 0.0251103 0.0596361 0.0596361 0.0000000 0.0000000 0.0000000 0.0000000 0.2347879 0.2347879 0.0000000 0.0000000 
0.0000000 0.0156970 0.0596475 0.0596475 0.0000000 0.0000000 0.0000000 0.0000000 0.2348330 0.2348330 0.0000000 0.0000000 
0.0000000 0.0062793 0.0596537 0.0596537 0.0000000 0.0000000 0.0000000 0.0000000 0.2348573 0.2348573 0.0000000 0.0000000 
0.0000000 0.0000000 0.0565250 0.0596658 0.0000000 0.0000000 0.0000000 0.0000000 0.2349048 0.2349048 0.0000000 0.0000000 
0.0000000 0.0000000 0.0471266 0.0596949 0.0000000 0.0000000 0.0000000 0.0000000 0.2350196 0.2350196 0.0000000 0.0000000 
0.0000000 0.0000000 0.0377158 0.0597188 0.0000000 0.0000000 0.0000000 0.0000000 0.2351136 0.2351136 0.0000000 0.0000000 
0.0015742 0.0000000 0.0282944 0.0597373 0.0000000 0.0000000 0.0000000 0.0000000 0.2351865 0.2351865 0.0000000 0.0000000 
0.0110089 0.0000000 0.0188647 0.0597471 0.0000000 0.0000000 0.0000000 0.0000000 0.2352249 0.2352249 0.0000000 0.0000000 
0.0204431 0.0000000 0.0094300 0.0597462 0.0000000 0.0000000 0.0000000 0.0000000 0.2352214 0.2352214 0.0000000 0.0000000 
0.0298673 0.0000000 0.0000000 0.0597302 0.0000000 0.0000000 0.0000000 0.0000000 0.2351675 0.2351766 0.0000000 0.0000000 
0.0300091 0.0000000 0.0000000 0.0505362 0.0000000 0.0000000 0.0000000 0.0000000 0.2176270 0.2362929 0.0000000 0.0000000 
0.0301397 0.0000000 0.0000000 0.0412369 0.0000000 0.0000000 0.0000000 0.0000000 0.1998351 0.2373205 0.0000000 0.0000000 
0.0302583 0.0000000 0.0000000 0.0318427 0.0000000 0.0000000 0.0000000 0.0000000 0.1818101 0.2382554 0.0000000 0.0000000 
0.0223683 0.0080020 0.0000000 0.0223684 0.0000000 0.0000000 0.0000000 0.0000000 0.1636007 0.2391369 0.0000000 0.0000000 
0.0128162 0.0176496 0.0000000 0.0128162 0.0000000 0.0000000 0.0000000 0.0000000 0.1451726 0.2398878 0.0000000 0.0000000 
0.0032016 0.0273408 0.0000000 0.0032016 0.0000000 0.0000000 0.0000000 0.0000000 0.1265483 0.2404918 0.0000000 0.0000000 
0.0000000 0.0306080 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1077892 0.2410083 0.0000000 0.0000000 
0.0000000 0.0306654 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0889245 0.2414603 0.0000000 0.0000000 
0.0000000 0.0307119 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0699633 0.2418266 0.0000000 0.0000000 
0.0000000 0.0258735 0.0048778 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0509319 0.2421367 0.0000000 0.0000000 
0.0000000 0.0161744 0.0146047 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0318392 0.2423550 0.0000000 0.0000000 
0.0000000 0.0064539 0.0243358 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0127045 0.2424392 0.0000000 0.0000000 
0.0000000 0.0000000 0.0316268 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2424143 0.0000000 0.0000000 
